"plot_id","Strata","datum","utm_zone","utm_easting","utm_northing"
2,"Mid Stocking","NAD83","12N",306653.43377168,5202678.53193983
3,"Mid-High Stocking","NAD83","12N",307552.694380735,5202697.38344578
4,"Mid Stocking","NAD83","12N",308454.991582781,5202711.62447233
5,"Mid-High Stocking","NAD83","12N",305769.533115823,5201758.29275566
7,"Mid-High Stocking","NAD83","12N",307570.073826372,5201800.00203622
8,"Mid-High Stocking","NAD83","12N",308475.339717269,5201823.80579056
9,"Mid-High Stocking","NAD83","12N",309368.405443044,5201830.46574819
10,"High Stocking","NAD83","12N",305788.750420714,5200863.62235392
11,"High Stocking","NAD83","12N",306684.404408015,5200880.50813134
12,"Mid-High Stocking","NAD83","12N",307589.329606708,5200897.79253901
16,"Mid Stocking","NAD83","12N",311198.450703785,5200963.46630033
17,"High Stocking","NAD83","12N",305809.236508536,5199972.67346929
18,"High Stocking","NAD83","12N",306706.058690394,5199977.07874875
19,"Low-Mid Stocking","NAD83","12N",307605.969986409,5199991.37004717
20,"High Stocking","NAD83","12N",308508.870823505,5200012.27011626
21,"High Stocking","NAD83","12N",309415.824186359,5200022.01025187
22,"Mid-High Stocking","NAD83","12N",310312.333835715,5200046.70653186
23,"Mid Stocking","NAD83","12N",311209.138380278,5200063.99973358
24,"Mid Stocking","NAD83","12N",312112.565663675,5200081.95710163
25,"Mid Stocking","NAD83","12N",313009.087714797,5200102.27007007
27,"Mid Stocking","NAD83","12N",308522.654610498,5199110.61849455
28,"Mid-High Stocking","NAD83","12N",309424.02683385,5199133.34809208
29,"High Stocking","NAD83","12N",310321.789897759,5199138.83370055
30,"Mid Stocking","NAD83","12N",311227.739190376,5199163.5192762
31,"Mid Stocking","NAD83","12N",312125.672578336,5199178.63929355
33,"Mid Stocking","NAD83","12N",307638.82500338,5198193.85049354
34,"Mid Stocking","NAD83","12N",310339.612354914,5198251.68381204
35,"Low-Mid Stocking","NAD83","12N",311241.169218778,5198255.98957162
36,"Mid Stocking","NAD83","12N",312145.808414468,5198280.2770092
37,"Mid Stocking","NAD83","12N",313043.485880688,5198296.93320289
38,"Mid-High Stocking","NAD83","12N",323850.599107946,5198505.5707346
39,"Mid Stocking","NAD83","12N",308557.834491764,5197309.87130185
40,"Low-Mid Stocking","NAD83","12N",309460.939856851,5197325.91300166
42,"Low-Mid Stocking","NAD83","12N",313060.469695823,5197400.90261791
45,"Mid Stocking","NAD83","12N",308578.282665433,5196396.06577627
47,"Low-Mid Stocking","NAD83","12N",312175.146922373,5196477.75869853
48,"Low-Mid Stocking","NAD83","12N",313079.473680624,5196494.88427382
50,"Mid-High Stocking","NAD83","12N",314882.472090077,5196532.80048812
52,"Mid Stocking","NAD83","12N",316675.015615286,5196558.44815666
53,"Mid-High Stocking","NAD83","12N",319379.410846751,5196612.19445953
